transaction_id,old_category,new_category,reason
T003,Покупки,Обучение,Книга и блокнот для обучения
T004,Еда,Встречи и гости,"Покупка для гостей: торт, свечи, одноразовая посуда"
T005,Здоровье,Уход за собой,"Шампунь и солнцезащитный крем — уход, не лечение"
T007,Еда,Питомец,Корм и наполнитель для кота
T011,Покупки,Обучение,Рабочая книга и маркеры
T016,Покупки,Питомец,Игрушка для кота и когтеточка
T020,Покупки,Подарки,Подарочная кружка и открытка
T021,Еда,Дом и быт,Стиральный порошок и губки
T022,Еда,Встречи и гости,Ужин с друзьями
T028,Еда,Встречи и гости,Покупка для вечера с друзьями
T031,Еда,Дом и быт,Батарейки и скотч
