transaction_id,date,merchant,amount,currency,bank_category,description
T001,2026-03-01,Selver,42.30,EUR,Еда,"Обычные продукты домой: молоко, яйца, крупа, овощи"
T002,2026-03-02,Wolt,13.40,EUR,Еда,Обед в рабочий день рядом с офисом
T003,2026-03-03,Amazon,37.90,EUR,Покупки,Книга по переговорам и блокнот
T004,2026-03-04,Rimi,28.70,EUR,Еда,"Торт, свечи, салфетки и бумажные тарелки"
T005,2026-03-05,Apotheka,19.80,EUR,Здоровье,Шампунь и солнцезащитный крем
T006,2026-03-06,Bolt,8.60,EUR,Транспорт,Поездка к друзьям вечером
T007,2026-03-07,Prisma,21.40,EUR,Еда,Корм для кота и наполнитель
T008,2026-03-08,Cinema City,16.00,EUR,Развлечения,Билет в кино
T009,2026-03-09,Spotify,10.99,EUR,Подписки,Музыкальная подписка
T010,2026-03-10,IKEA,24.50,EUR,Покупки,Контейнеры для хранения и лампочка
T011,2026-03-11,Bookstore,18.00,EUR,Покупки,Рабочая книга и маркеры
T012,2026-03-12,Rimi,51.20,EUR,Еда,Большая покупка без подробностей
T013,2026-03-13,Cafe Maja,9.40,EUR,Еда,Кофе и сэндвич в рабочий день
T014,2026-03-14,Flower Shop,22.00,EUR,Подарки,Букет для дня рождения
T015,2026-03-15,Apotheka,12.30,EUR,Здоровье,Лекарство от простуды
T016,2026-03-16,Amazon,45.00,EUR,Покупки,Игрушка для кота и когтеточка
T017,2026-03-17,Bolt,11.20,EUR,Транспорт,Такси домой после кино
T018,2026-03-18,Selver,33.10,EUR,Еда,Продукты на неделю
T019,2026-03-19,Online Course Hub,59.00,EUR,Обучение,Мини-курс по презентациям
T020,2026-03-20,Market24,31.80,EUR,Покупки,Подарочная кружка и открытка
T021,2026-03-21,Prisma,17.60,EUR,Еда,Стиральный порошок и губки
T022,2026-03-22,Burger Place,14.20,EUR,Еда,Ужин с друзьями после прогулки
T023,2026-03-23,Pharmacy24,27.50,EUR,Здоровье,Витамины и зубная паста
T024,2026-03-24,Rimi,18.90,EUR,Еда,"Сыр, хлеб, фрукты"
T025,2026-03-25,PetCity,29.90,EUR,Питомец,Корм для кота
T026,2026-03-26,TaxiGo,7.50,EUR,Транспорт,Поездка на вокзал
T027,2026-03-27,Amazon,22.40,EUR,Покупки,USB-кабель и подставка для ноутбука
T028,2026-03-28,Rimi,35.60,EUR,Еда,"Снеки, напитки и настольная игра для вечера с друзьями"
T029,2026-03-29,Hair Studio,32.00,EUR,Уход за собой,Стрижка
T030,2026-03-30,Metro Card,20.00,EUR,Транспорт,Пополнение транспортной карты
T031,2026-03-30,SuperMarket X,9.80,EUR,Еда,Батарейки и скотч
T032,2026-03-31,FoodBox,11.80,EUR,Еда,Доставка обеда в рабочий день
